State,2016-17,,2017-18,,2018-19,,2019-20,,2020-21,,2021-22,
,,,,,,,,,,,,
,Production,Area,Production,Area,Production,Area,Production,Area,Production,Area,Production,Area
West Bengal,15.3,5.5,14.97,5.12,16.05,5.52,15.57,5.46,16.65,5.58,16.76,5.6
Punjab,11.59,2.9,13.38,3.07,12.82,3.1,11.78,2.92,12.18,2.79,12.89,2.97
Uttar Pradesh,13.75,5.99,13.27,5.81,13.34,5.75,15.52,5.74,15.66,5.68,15.27,5.7
Andhra Pradesh ,7.45,2.11,8.18,2.16,8.25,2.21,8.64,2.29,7.89,2.32,7.79,2.25
Bihar,8.24,3.34,7.91,3.28,6.04,3.18,6.05,2.89,6.88,3.02,7.06,3.1
Tamil Nadu,2.37,1.44,7.28,1.86,6.45,1.72,7.18,1.91,7.28,2.04,8.07,2.21
Odisha,8.33,3.85,6.53,3.7,7.31,3.71,8.04,3.89,8.77,4.03,9.14,3.94
Telengana,5.17,1.68,6.25,1.97,6.7,1.95,7.34,2.01,7.7,2.31,12.3,3.65
Assam,4.73,2.47,5.16,2.45,5.14,2.46,5.1,2.27,5.26,2.36,5.27,2.36
Chattisgarh,8.05,3.83,4.73,3.76,6.53,3.61,6.5,3.67,7.16,3.79,7.9,3.76
